subject,run,trial,set_size,probe,response,correct,response_time
005,3,20,7,lure,new,1,3.8564845531000174
005,3,21,3,lure,new,1,1.3870944441000006
005,3,22,5,target,old,1,1.2874948429999904
005,3,23,3,target,old,1,1.067895722600042
005,3,24,3,lure,new,1,1.4349942521999992
005,3,25,3,lure,new,1,1.2266950864999444
005,4,1,3,lure,new,1,1.0093032726000004
005,4,2,5,lure,new,1,1.0361033594999967
005,4,3,3,lure,new,1,1.405604557700002
005,4,4,5,lure,new,1,1.2798041496999986
005,4,5,7,target,old,1,1.0890035310999906
005,4,6,5,lure,new,1,0.9151029671999993
005,4,7,5,target,old,1,1.1441037097000049
005,4,8,3,lure,new,1,1.466204754100005
005,4,9,3,lure,new,1,2.1891070981999974
005,4,10,3,target,old,1,1.0929035437000039
005,4,11,7,lure,new,1,2.0076065096000093
005,4,12,7,lure,old,0,1.3656044278999957
005,4,13,5,lure,new,1,1.1318036697999787
005,4,14,3,target,old,1,1.032203346900019
005,4,15,5,target,old,1,1.0141032881999763
005,4,16,7,lure,new,1,2.502508114299985
005,4,17,5,lure,new,1,1.0297033387999477
005,4,18,3,target,old,1,1.302004221700031
005,4,19,3,lure,new,1,1.6730054246999657
005,4,20,5,target,old,1,1.0384033670000008
005,4,21,7,target,old,1,1.2840041633000396
005,4,22,7,target,old,1,1.7654057243000807
005,4,23,7,lure,new,1,2.5198081703999833
005,4,24,5,target,old,1,0.6801022052000008
005,4,25,7,lure,new,1,2.6140084758999365
006,1,3,3,target,new,0,5.093090771299984
006,1,6,3,target,old,1,0.8431984720999992
006,1,7,5,target,old,1,0.9983981908999908
006,1,8,5,target,old,1,0.9374983013000247
006,1,9,7,lure,new,1,0.6879987533999952
006,1,10,7,lure,new,1,0.8280984995000154
006,1,11,7,lure,old,0,1.0280981370999598
006,1,12,7,lure,new,1,1.060898077700017
006,1,13,3,target,new,0,0.6428988351000271
006,1,14,5,target,old,1,0.9828982190000488
006,1,15,5,lure,new,1,0.959398261600029
006,1,16,3,target,old,1,0.6804987669000298
006,1,17,5,lure,new,1,1.045498105599961
006,1,18,7,target,old,1,0.9238983258999269
006,1,19,3,lure,new,1,0.7060987205999254
006,1,20,5,target,old,1,0.9356983044999652
006,1,21,5,target,old,1,0.5957989204000569
006,1,22,3,lure,new,1,1.0260981407000145
006,1,23,5,target,old,1,0.8863983937999365
006,1,24,7,lure,new,1,0.6627987990000292
006,1,25,3,target,old,1,0.8247985054999845
006,2,1,5,lure,new,1,0.7243992400999986
006,2,2,7,target,old,1,0.7239992403999977
006,2,3,3,lure,new,1,0.4884994874999933
006,2,4,7,lure,old,0,0.9669989856000001
006,2,5,3,target,old,1,0.7456992178000093
006,2,6,5,target,old,1,0.8858990706999919
006,2,7,7,lure,new,1,0.799099161699985
006,2,8,5,target,old,1,1.0223989273999905
006,2,9,5,lure,new,1,0.9405990132999875
006,2,10,7,lure,new,1,0.8047991556999818
006,2,11,5,lure,new,1,0.7226992418000009
006,2,12,5,target,old,1,1.0175989324999932
006,2,13,5,target,old,1,0.8584990993999781
006,2,14,7,target,old,1,0.8322991269000113
006,2,15,3,target,old,1,0.8238991357000032
006,2,16,7,lure,new,1,0.744299219200002
006,2,17,3,target,old,1,0.869099088300004
006,2,18,3,target,old,1,0.7196992450000153
006,2,19,3,target,old,1,0.8748990821999882
006,2,20,3,target,old,1,0.7847991767000053
006,2,21,7,target,old,1,0.6834992830000033
006,2,22,7,target,old,1,0.9406990131000157
006,2,23,3,lure,new,1,0.8135991464999961
006,2,24,5,lure,new,1,0.7516992114000232
006,2,25,3,lure,new,1,0.8624990952000644
006,3,1,7,target,old,1,0.8294006328000023
006,3,2,7,lure,new,1,0.9090006934999977
006,3,3,3,lure,new,1,1.4361010956000086
006,3,4,7,target,old,1,0.7107005422000015
006,3,5,5,target,old,1,0.7420005661000033
006,3,6,7,lure,new,1,0.7936006055000178
006,3,7,7,target,old,1,0.7653005839000002
006,3,8,5,lure,new,1,0.7896006024000144
006,3,9,5,target,old,1,0.6680005095999775
006,3,10,7,target,old,1,1.163300887499986
